"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",0,515741.278395503,62731.2385408578,1964.1192917183,107116.473442723,53084.0309949245,45881.4521441388,48834.9438881637,5881.40121757562,7496.31724249314,44388.3311616071,32095.5583139225,9224.92359632859,14733.3190038396,5382.90934440661,31125.3562233575,11060.9559461423,5781.70173859738,19953.1529106455,40854.5822566931,42953.3237224828,8295.01074058376,28602.3048908318,3680.00052467388,18334.2905853922,94925.2188986157,25873.45687558,59278.1226231938,41780.5977295969,43376.8545999407,70747.2417129665,14799.9150450264,2654.99547186055,18859.9023935147,12096.0605042675,18100.0660053189,45507.2795191758,10081.7961358282,49740.3672891797,20498.6307281267,25423.1715822574,9398.78137545501,211602.482806919,31483.2842383462,41561.2472594134,11065.7746751368,15910.5167376456,26699.9516914338,3973.09997041353,46617.458710097
"Alaska",515741.278395503,0,453022.302669347,514498.35029246,410601.630267989,462673.330250721,561577.492938365,564452.051910827,512405.303241519,508384.378758645,560008.878620343,483760.192570868,510800.293823192,530361.333893398,510499.88967859,484651.580121207,526797.102936571,521520.727863095,535518.862725457,556554.610800583,558634.756326305,509692.444285132,487158.739454546,519149.738735587,497460.748759944,420849.774049259,489953.751079583,456544.545832461,557408.890873779,558955.474648593,445028.958830007,518905.266463646,517664.643675208,497160.592549833,525562.244885637,497661.017541692,470254.840334539,521596.019073952,565386.014345109,536219.306866848,490481.805951447,525123.736904722,304536.9524086,484342.153104908,557170.2141411,526674.706442272,499874.32475259,542370.609416853,511988.756562504,469232.260228951
"Arizona",62731.2385408578,453022.302669347,0,61482.9011071542,46957.3896350255,9664.27426815382,108561.784711356,111447.348621939,59636.8881978436,55412.5111372883,107001.318404553,30774.7632711025,58367.7076513897,77382.2671084849,57479.8838098173,31630.5337560228,73780.9381225429,68512.630406182,82509.4356774157,103546.509202623,105652.695547905,57019.4456461688,34171.3791461232,66136.6422787822,44496.3709054974,32204.2102137298,36940.2554280896,3935.83867814726,104399.805575357,106022.154971281,8120.02014978411,67478.3932005646,64702.9771250566,44175.9318947875,72941.742234765,44641.2362895216,17233.6657303779,69127.7241991547,112375.361539452,83199.0242640387,37495.3582097958,72119.1751487328,149054.903348171,31341.6044977359,104166.509238421,73689.2758843572,46867.5549524284,89352.6611062306,59001.0862521606,16318.4244753469
"Arkansas",1964.1192917183,514498.35029246,61482.9011071542,0,106160.581375916,51844.7743682042,47134.6547368536,50006.947193965,6685.87772921402,6783.71862877581,45564.5687113748,30768.3481089593,10001.4911688408,16204.5716231069,4254.47684445456,29870.4432966168,12365.6869042363,7219.23530022398,21053.8993137352,42145.9221575896,44295.6402392933,8639.40289666479,27434.7529988881,4663.17497258038,17278.0628272066,93656.9918436419,24570.6452836225,57991.1178773689,42947.2604399268,44768.6281840632,69474.0975720851,16557.9053851053,4609.38272141726,17474.6909716424,14004.8091888322,16858.7383809584,44257.9236371398,12038.2650723807,50923.3659967367,21732.9910299986,24065.6677675148,10824.644879279,210434.381484603,30171.6118036077,42712.8259150621,12569.0356971567,14771.5978964227,27877.7816207172,3699.49000842008,45306.9185562967
"California",107116.473442723,410601.630267989,46957.3896350255,106160.581375916,0,55806.7370863277,152576.386174247,155750.180736885,103084.427850682,99630.2909250942,151308.083784417,76458.3636817163,101108.888681979,121310.361330675,102081.69592558,76937.5012782252,118070.576583424,112791.008888841,127055.501589157,147462.169974506,149330.002065306,100275.851514143,78986.076778205,110701.519032913,88901.8742972858,23129.4170964705,82262.7258464737,50836.6591422214,148740.08952327,149484.474470188,40322.3851509568,108575.118000422,108718.081877809,89482.4171652448,115860.778901456,89515.2817752036,63081.0388420831,111787.735924154,156629.784980144,127476.972501831,82987.9039315182,116293.234966829,106155.946548067,76917.4652494224,148551.979854006,117704.272082312,91507.489764828,133714.164358242,103243.845175647,62718.0067836694
"Colorado",53084.0309949245,462673.330250721,9664.27426815382,51844.7743682042,55806.7370863277,0,98906.6721633905,101802.955678556,50006.3556282599,45762.463235499,97355.5494831784,21173.5389497387,48792.4794785672,67727.1074200161,47826.7632351385,21981.6630983736,64132.3355356064,58865.0344869516,72870.8119499083,93889.2527229587,95995.9206457384,47406.676900885,24516.7637905169,56498.7143884788,34847.9270136245,41862.9500106001,27303.8136470274,6431.81716165035,94756.6952126809,96364.8827787224,17747.7102573149,58052.2868801919,55053.7662107008,34546.1153915806,63324.225430696,34996.1360869968,7590.64259367414,59535.4917417073,102730.143151831,73552.1939279856,27882.3525623359,62468.4477464624,158666.120271486,21728.3926364929,94526.6964572252,64032.82062279,37210.174717886,79709.5548190203,49346.2760092026,6918.19132092341
"Connecticut",45881.4521441388,561577.492938365,108561.784711356,47134.6547368536,152576.386174247,98906.6721633905,0,3865.44634762921,49502.5035596423,53257.391431928,2755.42833592166,77858.3022015771,51526.7377088401,31325.9478919633,51084.6334332194,76932.3710048637,34827.6630484217,40114.9636317721,26190.1762952848,5132.17478244847,4062.51691842631,52304.9790048949,74434.5735776084,42500.4846127912,64163.9966692701,140748.247647303,71642.8250991989,105057.189180286,4870.5120185151,5000.14860404168,116579.504442572,45506.2290960798,44023.0163486431,64458.6197149768,36919.6643697583,63935.757838424,91328.2865632686,41059.4304983946,4457.33855864685,25422.4840517287,71143.9531497231,36513.7952701017,257436.833668915,77268.6726628353,5328.01453879398,34974.6554529133,61711.6983117269,19329.7174425805,49632.1471167629,92384.4857327035
"Delaware",48834.9438881637,564452.051910827,111447.348621939,50006.947193965,155750.180736885,101802.955678556,3865.44634762921,0,52673.630905511,56264.1788068608,4456.24974856661,80698.2926596722,54805.2377133463,34443.6866118074,54007.5492498965,79823.2496483349,37788.4485003235,43087.7061127649,28963.4923033964,8680.16385822295,7846.05020331249,55494.8297102973,77379.3412398296,45380.5442979797,67146.0319501972,143605.849758775,74507.8664472524,107907.570339948,7068.95733605035,8745.30566686494,119437.446775991,49074.2815860823,47077.0652202588,67291.6507966509,40294.6688035477,66839.2491275119,94217.5649681889,44441.1449618133,1028.61811455953,28355.7975689276,73975.8885325509,39522.1706453795,260413.829170487,80120.3037271802,7341.69682882643,38053.6260214503,64656.7730068985,22153.7623630028,52636.0982325476,95221.5525420737
"Florida",5881.40121757562,512405.303241519,59636.8881978436,6685.87772921402,103084.427850682,50006.3556282599,49502.5035596423,52673.630905511,0,5252.3081806383,48237.6165118427,29553.7744581652,3372.54867872949,18239.3291668965,5728.087182472,28339.3690633084,15285.5998974067,10271.7312206852,24294.8980414181,44396.5988256263,46329.6473111862,2854.67640213387,25573.5456935482,9183.91461278359,15323.2918020542,91807.7164869598,23385.6896623469,56327.2706395126,45680.5428978783,46580.5949658535,67709.8003149145,11627.9089724722,6077.55891147918,16999.9351329468,13346.2461211233,15731.7511138335,42518.7734849078,9809.81513907882,53548.0252751453,24510.3302739886,23156.4969316691,13442.5851008093,208082.630873309,28896.7558220227,45506.7963686788,14685.3060174584,13342.1485295135,30734.4781540601,3725.68645653388,43832.0081237091
"Georgia",7496.31724249314,508384.378758645,55412.5111372883,6783.71862877581,99630.2909250942,45762.463235499,53257.391431928,56264.1788068608,5252.3081806383,0,51814.9437478571,24946.3489156009,6760.56852121181,21982.475695326,3020.85824400947,23868.7887445425,18491.5047763453,13202.4428701055,27430.8891099523,48203.9492166607,50259.1671976775,4414.73931938229,21248.3000980408,11128.251456653,10924.557083127,87614.4361005103,18723.7947044289,52008.4464141172,49219.1607332561,50622.0393980932,63454.0323699637,16683.8118189489,9291.5442063685,12036.8848859495,18062.4811044441,10936.4377817642,38207.0599797747,14830.2787422253,57166.0680095247,27931.922661292,18380.616662985,16764.325259458,204191.771248842,24310.7800207974,49009.7356795566,18303.2551184646,8641.77844210322,34150.2527528509,3645.85027580673,39397.2571419953
"Hawaii",44388.3311616071,560008.878620343,107001.318404553,45564.5687113748,151308.083784417,97355.5494831784,2755.42833592166,4456.24974856661,48237.6165118427,51814.9437478571,0,76256.7947939913,50393.2887522892,30007.5925167015,49557.4228210225,75375.8862609283,33343.9738372618,38642.9579396505,24529.1150030754,4767.06187020894,5145.8346011993,51062.3285665754,72928.6766971649,40940.0733036728,62695.4674350395,139163.503220714,70062.8768060519,103464.711770849,2696.10347666776,6563.98043331179,114995.460158166,44839.519848929,42633.01763718,62848.823350023,35933.7898790039,62392.0996082228,89770.6906148154,40081.3293786384,5393.12126138473,23916.5874434377,69535.0211582653,35077.7983526632,255962.788204907,75677.716338629,3062.21636426951,33608.7620322499,60205.2600890852,17721.03077037,48185.6685716241,90780.3662701143
"Idaho",32095.5583139225,483760.192570868,30774.7632711025,30768.3481089593,76458.3636817163,21173.5389497387,77858.3022015771,80698.2926596722,29553.7744581652,24946.3489156009,76256.7947939913,0,28878.6204257215,46798.091678936,26819.1589490815,1801.89741775163,43105.8614137672,37870.0000820187,51759.3368968382,72870.7373840316,75020.5787251178,27166.0801213131,4631.25402003604,35428.7817123084,14242.5391318543,62910.4555371848,6249.11940459614,27232.4713532503,73650.1938695996,75446.5693795523,38739.8785337861,38895.649589413,34194.5486906261,13440.1977931167,42868.3834689681,14025.303029614,13597.8783833214,39297.1337296195,81629.2668747607,52492.5025004343,6723.62844408434,41486.4036894933,179820.287688906,706.5787577475,73411.1101595181,43102.9627331359,16356.6452251829,58617.4517846187,28466.7157514192,14539.5212994239
"Illinois",9224.92359632859,510800.293823192,58367.7076513897,10001.4911688408,101108.888681979,48792.4794785672,51526.7377088401,54805.2377133463,3372.54867872949,6760.56852121181,50393.2887522892,28878.6204257215,0,20523.267135561,8351.99772368264,27526.9779665985,17946.8368352643,13195.0443759921,26855.664063145,46399.9743247386,48224.675630906,2370.84329302887,24643.5928192786,12405.9338968294,14749.7760916056,90448.0391048717,22879.67842413,55170.2997689164,47868.4094808685,48381.7227440704,66446.1571412704,10490.1464140449,9107.9234804043,17159.3472334935,14790.3045013414,15591.5008542603,41409.1591199351,10822.3879755856,55656.7413895891,26904.1919678403,22799.0089340217,16091.3063102689,206390.686936009,28200.6156393367,47717.4047138987,17140.0788776948,13248.507817728,33076.261149737,6761.89229547469,42847.4734466631
