Control1 Control2 Control3 Treatment1 Treatment2 Treatment3
244901_at 229.985653578986 353.599488884354 178.49170667859 112.908004306129 152.918347252494 320.832347332275
244902_at 171.149795778839 84.4509421784317 41.3719507023477 170.172616272960 134.408135346787 193.526114590901
244903_at 314.977683757980 373.312499737307 52.9087305576548 196.3025592719 237.515203923717 253.377736007682
244904_at 24.0436645747574 175.316044755542 94.6842350235029 82.7848785168057 18.4363874951171 87.0085725571876
244905_at 15.8692346290887 40.0412478057203 58.7657341782099 341.353404672893 16.8013535532194 68.9420386518371
244906_at 381.06379367242 218.905969248341 307.014876021364 162.541085191470 264.479454228091 263.660979840759
244907_at 42.1490335765845 101.488219974359 60.0772144733039 141.729673923645 5.77319172449173 6.89407340976472
244908_at 3.68977276566694 19.7462557501781 20.4540240857044 12.1211813084071 17.6307111401622 26.1271428917417
244909_at 103.840665238157 60.9157036865687 100.705696854912 232.722276384259 60.8203188759345 28.0710427686107
244910_s_at 54.5680206923326 208.217583005060 261.468663661203 55.6649674028733 72.7402410780696 139.674916461453
244911_at 33.4598298732004 24.8042986248763 333.045037634287 55.4347183453429 4.53664717501261 167.141490849354
244912_at 1908.13672190375 1722.11192757679 1015.58316064854 1451.12343600234 1441.46699904193 1656.48184765318
244913_at 38.1162496845631 57.0115952506009 50.1253262023377 13.6024900385937 8.73770311523451 15.4555478915204
244914_at 9.20631997462699 23.6615320596277 37.6368460086572 25.3816535695608 7.40454846676142 130.137890822419
244915_s_at 83.5912317918107 13.3284856143200 52.4587509246146 89.6430471381086 4.94487503003966 7.28242637841923
244916_at 3.37193910803553 38.9626713825142 16.9439536492860 68.912712685365 2.8001837569587 52.7093377120281
244917_at 12.2903083235472 16.8306906481569 19.1487776215984 48.1506989628189 10.2069572244319 38.3308282109919
244918_at 13.5240774432440 10.2554667405377 118.229591414371 16.2696125488295 6.71862848314596 50.9177402492397
244919_at 52.5268004227439 79.547578356661 117.325485209232 11.1634226620577 22.7673736738933 165.390528217205
244920_s_at 1013.59610473712 1192.22286830689 745.712220927374 1315.59637875859 604.654588498457 973.765823252979
244921_s_at 367.634553828615 395.644418614258 226.891842748719 707.185370213273 269.237938175603 544.451802757001
244922_s_at 123.464766264713 100.268008078279 43.5801590947442 24.4330992782032 53.9086778602234 167.852959446484
244923_s_at 47.2347646543671 179.666309814359 35.0574308190286 199.125891625734 91.1408568403158 21.7531510890525
244924_at 169.969648649022 52.7445422414574 105.418109346135 71.8433389934652 117.887705073674 319.370348042645
244925_at 62.5749423532582 85.5675141435855 56.2597938812243 9.86484072370512 41.6185707165328 29.0128321084021
244926_s_at 36.1607936155863 70.8424315191291 15.1330310468482 39.8028368540473 52.6872646036187 11.0335876867335
244927_at 123.224977332482 169.873455010931 61.7694549599143 260.440919653497 150.291281275477 37.4098911789330
244928_s_at 250.88738947585 414.29372422649 408.632132665656 418.771347195529 190.056293592919 334.913306484566
244929_at 1336.94071454682 1341.4332815027 1555.60518636540 1961.50912089977 1141.26847591715 1046.55445559837
244930_at 49.01306508174 28.8413939213382 249.150230272347 28.5307461548179 99.2012000470423 21.0456327903953
244931_at 41.9691791519286 231.317184523328 280.523099198596 230.611950814529 31.8227698146774 84.6816888759863
244932_at 251.794325666848 181.183079943139 244.040029273969 379.032901992896 239.467551586987 276.870614098606
244933_at 203.283082355956 254.492039307966 119.849812681744 346.442291818687 173.216813401992 197.552002097544
244934_at 160.565913774964 312.955230286827 509.909330358904 572.336144829442 132.166527788346 260.859443490620
244935_at 5747.47612357909 5070.82544872444 3505.47751590276 5481.67622688072 5286.62474463458 5796.53564858608
244936_at 1786.74325360231 1592.08029315103 817.176175015551 1634.29303005708 1258.44227295196 1544.79345929483
244937_at 173.271552227824 168.893589039572 154.075714533045 403.697471797074 185.071618159134 173.715191383984
244938_at 684.587026162007 1066.35138711714 396.630761635327 777.28440336839 690.960061340181 757.488568728212
244939_at 647.962698387557 802.435391343201 100.036430605686 1009.93176090336 584.641287175719 526.154497084367
244940_at 3654.4059817897 3137.80833462629 864.423383781382 2678.87211807053 2489.37497560075 3087.72008021152
244941_at 122.322281938905 287.556334293694 421.992745622216 69.951136200731 102.458113979342 310.199317332348
244942_at 5.36107234773414 173.297911767186 348.378538809917 10.6797034853081 6.84753835379288 9.30053151293164
244943_at 252.681866796845 407.19805952891 386.600732342456 238.751356404433 154.571262229598 43.2951942273685
