EntrezID	gene_size
1	2301
100	1770
1000	4332
10000	7081
100009676	2743
10001	1995
100033425	92
100033426	92
100033430	92
10004	2699
100048912	3835
100049587	2035
100049716	2338
10005	3059
10006	3689
10007	2980
10008	3143
10009	5211
100093630	672
100093631	3609
10010	2171
100101267	5835
100101467	4323
10011	2107
100113407	8362
100124536	131
100125288	2303
100126793	1708
100127889|387707	3247
100127967	3808
100127983	894
100128071	2759
100128164	6251
100128191	3357
100128239	2206
100128327	2421
100128398	6438
100128420	1721
100128494	4233
100128569	674
100128731	561
100128782	2825
100128905	1884
100128927	3800
100129195	2163
100129196	3925
100129361	4795
100129482	8637
100129484	2651
100129543	2374
100129716	2500
100129726	1646
100129792	3431
100129827	829
100129842	2867
100129858	1987
100129917	618
10013	4832
100130231	5330
100130311	3199
100130476	1959
100130691	5202
100130733	2249
100130742	1861
100130887	951
100130890	962
100130950	1715
100130958	858
100131017	5392
100131067	2463
100131089	2317
100131096	3192
100131176	751
100131187	813
100131193	2386
100131211	6168
100131434	2347
100131439	1303
100131655	1295
100131691	2567
100131755	7424
100131801	1815
100131827	3875
100132077	2162
100132249	4082
100132341	4117
100132406	13042
100132707	2121
100132891	4220
100133941	2513
100133985	662
100133991	2475
100134229	2380
100134368	1715
100137047	1416
10014	5326
100141515	2404
100144603	578
10015	6161
100151683	127
100151684	126
100158262|619383	353
10016	3763
10018	5231
100188893	637
100188949	1589
10019	5406
10020	5298
10023	2649
100233156|100132288	1599
100233209	2494
10024	2771
100240735	906
10025	3420
10026	4596
100271927	2931
100272147	1107
100286979	2149
100287015	2413
100287029	1652
100287042	2527
100287171	1827
100287175|84331	2306
100287177	886
100287482	1035
100287559	2730
100287569	1597
100287596	1652
100287596|84771	1657
100287616	2358
100287765	2101
100287902	1457
100287932	1222
100288142	18760
100288198	2946
100288637	5637
100288695|3987	1580
100288846	1359
100289097	769
100289098	540
100289274	2908
100289279	7455
100289341	1872
100289373	1771
100289473	1367
100289635	9340
100289678	4452
100293516	3339
100302240|79101	4358
100302254	101
100302692	2597
100302743	136
100303491	1322
100303728	3062
100303755	1141
100306951	542
100316904	1031
10036	3339
100379661|571	5769
10038	1980
100381270	4250
10039	2472
10040	2507
100419170	3034
10042	4216
100420587	3113
100421577	2177
100422841	87
100422995|1106	9363
100423062	1335
10043	2622
10044	3124
10045	3493
10046	4854
100462981	1049
100463486	1303
10048	3113
10049	7992
100499405	2472
100499484	3161
100500818	98
100500854	88
100500857	106
100500862	180
100505538	2427
100505585|9138	3439
100505616	790
100505622	759
100505641	3792
100505648	1151
100505681	1753
100505687	1490
100505696	5570
100505715	2193
100505738	3239
100505746	2282
100505761	2453
100505767	3440
100505771	801
100505783	1563
100505812	1969
100505854	2029
100505876	3158
100505881	8524
100505894	1101
100505994	2672
100506035	2080
100506046	694
100506054	1218
100506060	2704
100506071	1991
100506100	544
100506119	901
100506127	5363
100506144	922
100506159	979
100506215	3523
100506233	1116
100506258	4433
100506299	953
100506302	1356
100506305	1558
100506314	1746
100506334	9124
100506343	2131
100506365	4275
100506428	4651
100506469	3911
100506516	716
100506564	1650
100506581	1650
100506585	4302
100506603	1684
100506606	2380
100506622	2412
100506637	3447
100506668	1901
100506686	5753
100506710	4520
100506713	1730
100506736	3119
100506746	2306
100506775	775
100506776	3645
100506779	2337
100506801	2479
100506826	760
100506866	4592
100506881	2043
100506915	2431
100506930	2732
100506963	1074
100507032	3496
100507053	4825
100507057	951
100507062	2456
100507103	815
100507171	1804
100507173	2771
100507246	3607
100507250	1733
100507266	3047
100507283	2886
100507290	4005
100507291	602
100507303	342
100507316	689
100507331	1460
100507347	1351
100507373	2861
100507387|202134	4334
100507392	1298
100507424|55846	2361
100507436	2260
100507487	2012
100507495	2158
100507540	2078
100507557	3961
100507567	1013
100507582	2355
100507602	807
100507616	10626
100507632	2366
100507670	622
10051	5471
100526820	896
100527978	1491
100528021	859
10053	1757
100533182	1433
10054	4023
10055	2313
10056	3369
10057	5921
10058	3016
10059	4439
10061	3546
100616122|57551	12407
100616194	81
100616323	70
100616385	895
100616396	16182
100616408|100616387|1655	3558
10062	2731
10063	684
100652740	1095
100652748	2623
100652846	2191
100653515	2090
10066	3162
10068	4080
10069	3094
10072	3078
10073	1931
10075	14796
10077	3325
10078	1686
10079	8106
10081	2851
100820829	2361
10084	1428
100847051	120
10085	4727
100859930	1652
